Character;Birthplace;Age;Affiliation;Status
Anakin Skywalker;Tatooine;22;Republic ? Empire;Jedi / Sith
Padmé Amidala;Naboo;27;Republic;Neutral (politician)
Obi-Wan Kenobi;Stewjon;~38;Republic;Jedi
Qui-Gon Jinn;Unknown;Deceased;Republic;Jedi
Yoda;Unknown;~880;Republic;Jedi
Mace Windu;Haruun Kal;~53;Republic;Jedi
Palpatine / Darth Sidious;Naboo;~65;Republic ? Sith;Sith
Count Dooku / Darth Tyranus;Serenno;~83;Confederacy;Sith
Countess Dooku (cameo);Serenno;~80+;Confederacy;Neutral
Bail Organa;Alderaan;~45;Republic;Neutral
Jar Jar Binks;Naboo;~30;Republic;Neutral
Boss Nass;Naboo;~60;Republic;Neutral
Shmi Skywalker;Tatooine;Deceased;Civilian;Neutral
Watto;Tatooine;~50;Neutral;Neutral
Sebulba;Malastare;~30;Neutral;Neutral
Captain Panaka;Naboo;~40;Republic;Neutral
Captain Typho;Naboo;~30–40;Republic;Neutral
Sabé;Naboo;~30;Republic;Neutral
Sio Bibble;Naboo;~60;Republic;Neutral
C-3PO;Tatooine;0 (as droid);Republic;Neutral
R2-D2;Naboo;Unknown;Republic;Neutral
Jango Fett;Concord Dawn;~40;Neutral;Mercenary
Boba Fett;Kamino;13;Neutral;Neutral
General Grievous;Kalee;~40–50;Confederacy;Sith-aligned
Nute Gunray;Neimoidia;~60;Trade Federation;Antagonist
Rune Haako;Neimoidia;~60;Trade Federation;Neutral/Antagonist
Lott Dod;Neimoidia;~55;Trade Federation;Neutral
Passel Argente;Unknown;~50;Confederacy;Neutral
Mas Amedda;Chagris;~50;Republic ? Empire;Neutral politician
Sly Moore;Umbara;Unknown;Republic ? Empire;Sith ally
Ki-Adi-Mundi;Cerea;~60;Republic;Jedi
Plo Koon;Dorin;~50;Republic;Jedi
Kit Fisto;Glee Anselam;~35;Republic;Jedi
Shaak Ti;Shili;~40;Republic;Jedi
Aayla Secura;Ryloth;~30;Republic;Jedi
Luminara Unduli;Mirial;~50;Republic;Jedi
Barriss Offee;Mirial;~20;Republic;Jedi
Tsui Choi;Aleen;~50;Republic;Jedi
Saesee Tiin;Iktotch;~50;Republic;Jedi
Even Piell;Lannik;~60;Republic;Jedi
Sifo-Dyas;Unknown;Deceased;Republic;Jedi
Captain Rex (canonically appears in III via retcons);Kamino;~10 (20 biological);Republic;Clone trooper
Commander Cody;Kamino;~10;Republic;Clone trooper
Tarfful;Kashyyyk;~150;Republic;Neutral
Chewbacca;Kashyyyk;~200;Republic;Neutral
Chancellor Valorum;Coruscant;~60;Republic;Politician
Mon Mothma;Chandrila;~30–35;Republic;Politician
Tion Medon;Utapau;~50;Neutral;Neutral
Lama Su;Kamino;Unknown;Kaminoans;Neutral
Taun We;Kamino;Unknown;Kaminoans;Neutral
Dex (Dexter Jettster);Unknown;~60;Republic;Neutral
Zam Wesell;Zolan;~30;Bounty Hunter;Neutral
Captain Dooku’s aide (Shu Mai);Unknown;~60;Confederacy;Neutral
San Hill;Muunilinst;~60;Confederacy;Neutral
Poggle the Lesser;Geonosis;~80;Confederacy;Neutral/Antagonist
Sun Fac;Geonosis;~40;Confederacy;Antagonist
Wat Tambor;Skako;~60;Confederacy;Neutral
Admiral Trench;Unknown;~50;Confederacy;Military
Commander Appo;Kamino;~10;Republic;Clone trooper
Commander Bly;Kamino;~10;Republic;Clone trooper
Commander Gree;Kamino;~10;Republic;Clone trooper
ARC Trooper Fives;Kamino;~10;Republic;Clone trooper
ARC Trooper Echo;Kamino;~10;Republic;Clone trooper
Bossk;Trandosha;~30;Neutral;Bounty hunter
Aurra Sing;Nar Shaddaa;~30–40;Neutral;Bounty hunter
Bib Fortuna;Ryloth;~40–50;Neutral;Criminal
Gardulla the Hutt;Nal Hutta;~300;Neutral;Criminal
Jabba the Hutt;Nal Hutta;~500;Neutral;Criminal
Ric Olié;Naboo;~40;Republic;Pilot
Queen Jamillia;Naboo;~20–30;Republic;Politician
Queen Apailana;Naboo;~15;Republic;Politician
Senator Orn Free Taa;Ryloth;~60;Republic;Politician
Senator Onaconda Farr;Rodia;~55;Republic;Politician
Senator Palo (Padmé’s friend);Naboo;~25–30;Republic;Civilian
Cliegg Lars;Tatooine;~60;Neutral;Farmer
Owen Lars;Tatooine;~20;Neutral;Civilian
Beru Whitesun;Tatooine;~20;Neutral;Civilian
Kitster;Tatooine;~20;Neutral;Civilian
Queen Kylantha (mentioned);Naboo;~?;Republic;Politician
General Tarpals;Naboo;~50;Republic;Neutral
Fode and Beed (announcers);Unknown;~?;Neutral;Neutral
Dexter’s waitress Hermione Bagwa;Unknown;~20–30;Republic;Civilian
Jedi Master Coleman Trebor;Sembla;~50;Republic;Jedi
Jedi Master Oppo Rancisis;Thisspias;~200;Republic;Jedi
Jedi Master Depa Billaba;Chalacta;~40;Republic;Jedi
Jedi Master Agen Kolar;Unknown;~40;Republic;Jedi
Jedi Master Eeth Koth;Nar Shaddaa;~40;Republic;Jedi
Jedi Master Jocasta Nu;Coruscant;~80;Republic;Jedi
Jedi Master Cin Drallig;Unknown;~40–50;Republic;Jedi
Jedi Master Coleman Kcaj;Unknown;~?;Republic;Jedi
Jedi Master Bultar Swan;Kiffu;~30;Republic;Jedi
Jedi Master Stass Allie;Tholoth;~30–40;Republic;Jedi
Senator Tikkes;Mon Calamari;~50;Confederacy;Neutral
Senator Tundra Dowmeia;Mon Calamari;~45–50;Republic;Politician
